外上唇恶性肿瘤	C00.000
背部结缔组织恶性肿瘤	C49.601
结缔组织和软组织交搭跨越恶性肿瘤的损害	C49.800
结缔组织和软组织恶性肿瘤	C49.900
结缔组织恶性肿瘤	C49.900x001
软组织恶性肿瘤	C49.900x003
淋巴管恶性肿瘤	C49.901
乳头和乳晕恶性肿瘤	C50.000
乳头恶性肿瘤	C50.000x001
乳晕恶性肿瘤	C50.001
乳房中央部恶性肿瘤	C50.100
乳房上内象限恶性肿瘤	C50.200
乳房下内象限恶性肿瘤	C50.300
乳房上外象限恶性肿瘤	C50.400
乳房下外象限恶性肿瘤	C50.500
乳房腋尾部恶性肿瘤	C50.600
乳房交搭跨越恶性肿瘤的损害	C50.800
异位乳腺恶性肿瘤	C50.800x005
乳腺恶性肿瘤，上部	C50.801
乳腺恶性肿瘤，下部	C50.802
乳腺恶性肿瘤，内侧	C50.803
乳腺恶性肿瘤，外侧	C50.804
乳房恶性肿瘤	C50.900
双侧乳腺恶性肿瘤	C50.900x005
男性乳腺恶性肿瘤	C50.901
副乳腺恶性肿瘤	C50.902
大阴唇恶性肿瘤	C51.000
前庭大腺恶性肿瘤	C51.001
小阴唇恶性肿瘤	C51.100
阴蒂恶性肿瘤	C51.200
外阴交搭跨越恶性肿瘤的损害	C51.800
外阴恶性肿瘤	C51.900
阴道恶性肿瘤	C52.x00
宫颈内膜恶性肿瘤	C53.000
外宫颈恶性肿瘤	C53.100
宫颈交搭跨越恶性肿瘤的损害	C53.800
宫颈残端恶性肿瘤	C53.801
宫颈恶性肿瘤	C53.900
子宫峡部恶性肿瘤	C54.000
子宫下段恶性肿瘤	C54.001
子宫内膜恶性肿瘤	C54.100
子宫肌层恶性肿瘤	C54.200
子宫底部恶性肿瘤	C54.300
子宫体交搭跨越恶性肿瘤的损害	C54.800
子宫体恶性肿瘤	C54.900
子宫恶性肿瘤	C55.x00
卵巢恶性肿瘤	C56.x00
双侧卵巢恶性肿瘤	C56.x00x003
输卵管恶性肿瘤	C57.000
双侧输卵管恶性肿瘤	C57.000x002
阔韧带恶性肿瘤	C57.100
卵巢冠恶性肿瘤	C57.101
圆韧带恶性肿瘤	C57.200
子宫旁组织恶性肿瘤	C57.300
子宫骶骨韧带恶性肿瘤	C57.300x001
子宫韧带恶性肿瘤	C57.301
子宫附件恶性肿瘤	C57.400
女性生殖器官，其他特指的恶性肿瘤	C57.700
女性沃尔夫体恶性肿瘤	C57.701
女性沃尔夫管恶性肿瘤	C57.702
女性生殖器官交搭跨越恶性肿瘤的损害	C57.800
子宫颈及阴道恶性肿瘤	C57.800x004
子宫及输卵管恶性肿瘤	C57.800x005
输卵管卵巢恶性肿瘤	C57.801
子宫卵巢恶性肿瘤	C57.802
阴道外阴恶性肿瘤	C57.803
女性生殖器官恶性肿瘤	C57.900
胎盘恶性肿瘤	C58.x00
绒毛膜癌	C58.x00x002
绒毛膜上皮癌	C58.x00x003
包皮恶性肿瘤	C60.000
阴茎头恶性肿瘤	C60.100
阴茎体恶性肿瘤	C60.200
海绵体恶性肿瘤	C60.201
阴茎交搭跨越恶性肿瘤的损害	C60.800
阴茎恶性肿瘤	C60.900
阴茎皮肤恶性肿瘤	C60.901
前列腺恶性肿瘤	C61.x00
睾丸未降部的恶性肿瘤	C62.000
异位睾丸恶性肿瘤	C62.001
睾丸下降部的恶性肿瘤	C62.100
睾丸恶性肿瘤	C62.900
男性绒毛膜癌	C62.901
附睾恶性肿瘤	C63.000
精索恶性肿瘤	C63.100
阴囊恶性肿瘤	C63.200
阴囊皮肤恶性肿瘤	C63.201
男性生殖器官，其他特指的恶性肿瘤	C63.700
精囊恶性肿瘤	C63.701
鞘膜恶性肿瘤	C63.702
男性生殖器官交搭跨越恶性肿瘤的损害	C63.800
阴茎阴囊恶性肿瘤	C63.801
男性生殖器官恶性肿瘤	C63.900
肾（除外肾盂）恶性肿瘤	C64.x00
肾恶性肿瘤	C64.x00x001
双侧肾恶性肿瘤	C64.x00x003
肾多处恶性肿瘤	C64.x00x004
肾盂恶性肿瘤	C65.x00
肾盂输尿管连接处恶性肿瘤	C65.x01
肾盏恶性肿瘤	C65.x02
输尿管恶性肿瘤	C66.x00
双侧输尿管恶性肿瘤	C66.x00x002
输尿管多处恶性肿瘤	C66.x00x003
膀胱三角区恶性肿瘤	C67.000
膀胱顶恶性肿瘤	C67.100
膀胱侧壁恶性肿瘤	C67.200
膀胱前壁恶性肿瘤	C67.300
膀胱后壁恶性肿瘤	C67.400
膀胱颈恶性肿瘤	C67.500
尿道内口恶性肿瘤	C67.501
输尿管口恶性肿瘤	C67.600
脐尿管恶性肿瘤	C67.700
膀胱交搭跨越恶性肿瘤的损害	C67.800
膀胱恶性肿瘤	C67.900
膀胱多处恶性肿瘤	C67.900x002
尿道恶性肿瘤	C68.000
尿道旁腺恶性肿瘤	C68.100
泌尿器官交搭跨越恶性肿瘤的损害	C68.800
膀胱和尿道及前列腺恶性肿瘤	C68.800x003
肾输尿管恶性肿瘤	C68.801
肾盂膀胱恶性肿瘤	C68.802
膀胱尿道恶性肿瘤	C68.803
输尿管膀胱恶性肿瘤	C68.804
肾盂输尿管恶性肿瘤	C68.805
泌尿器官恶性肿瘤	C68.900
结合膜恶性肿瘤	C69.000
结膜恶性肿瘤	C69.000x001
角膜恶性肿瘤	C69.100
视网膜恶性肿瘤	C69.200
脉络膜恶性肿瘤	C69.300
睫状体恶性肿瘤	C69.400
虹膜恶性肿瘤	C69.400x005
葡萄膜恶性肿瘤	C69.401
泪腺和泪管恶性肿瘤	C69.500
泪管恶性肿瘤	C69.500x003
泪腺恶性肿瘤	C69.501
泪囊恶性肿瘤	C69.502
鼻泪管恶性肿瘤	C69.503
眶恶性肿瘤	C69.600
眶内恶性肿瘤	C69.600x001
眶结缔组织恶性肿瘤	C69.601
眶周神经恶性肿瘤	C69.602
眼外肌恶性肿瘤	C69.603
眼球后组织恶性肿瘤	C69.604
眼和附器交搭跨越恶性肿瘤的损害	C69.800
眼恶性肿瘤	C69.900
眼内恶性肿瘤	C69.900x001
眼球恶性肿瘤	C69.901
脑膜恶性肿瘤	C70.000
硬脑膜恶性肿瘤	C70.000x002
脊（髓）膜恶性肿瘤	C70.100
脊膜恶性肿瘤	C70.100x001
硬脊膜恶性肿瘤	C70.100x003
脑脊膜恶性肿瘤	C70.900
硬膜下恶性肿瘤	C70.901
大脑（除外脑叶和脑室）恶性肿瘤	C71.000
下丘脑恶性肿瘤	C71.000x001
岛叶恶性肿瘤	C71.000x004
基底节恶性肿瘤	C71.000x006
脑白质恶性肿瘤	C71.000x007
幕上恶性肿瘤	C71.001
丘脑恶性肿瘤	C71.002
胼胝体恶性肿瘤	C71.003
额叶恶性肿瘤	C71.100
颞叶恶性肿瘤	C71.200
顶叶恶性肿瘤	C71.300
枕叶恶性肿瘤	C71.400
脑室恶性肿瘤	C71.500
侧脑室恶性肿瘤	C71.500x003
第三脑室恶性肿瘤	C71.500x004
脉络丛恶性肿瘤	C71.501
小脑恶性肿瘤	C71.600
小脑蚓部恶性肿瘤	C71.601
小脑扁桃体恶性肿瘤	C71.602
脑干恶性肿瘤	C71.700
脑桥恶性肿瘤	C71.701
延髓恶性肿瘤	C71.702
第四脑室恶性肿瘤	C71.703
幕下恶性肿瘤	C71.704
中脑恶性肿瘤	C71.705
脑交搭跨越恶性肿瘤的损害	C71.800
额颞岛叶恶性肿瘤	C71.800x006
额叶和丘脑及胼胝体恶性肿瘤	C71.800x007
大脑皮层多处恶性肿瘤	C71.800x008
额顶叶恶性肿瘤	C71.801
额颞顶叶恶性肿瘤	C71.802
顶枕叶恶性肿瘤	C71.803
顶颞叶恶性肿瘤	C71.804
颞顶枕叶恶性肿瘤	C71.805
额颞叶恶性肿瘤	C71.806
颞叶脑岛恶性肿瘤	C71.807
颞枕叶恶性肿瘤	C71.808
脑桥小脑角恶性肿瘤	C71.809
脑恶性肿瘤	C71.900
蝶鞍上恶性肿瘤	C71.900x001
颅内恶性肿瘤	C71.900x002
颅前窝恶性肿瘤	C71.900x005
颅底恶性肿瘤	C71.900x006
颅中窝恶性肿瘤	C71.900x007
颅后窝恶性肿瘤	C71.900x008
翼腭窝恶性肿瘤	C71.900x009
颞下窝恶性肿瘤	C71.900x010
鞍上区恶性肿瘤	C71.901
蝶鞍区恶性肿瘤	C71.902
颅底交通性恶性肿瘤	C71.903
脊髓恶性肿瘤	C72.000
骶髓恶性肿瘤	C72.000x006
脊髓颈段恶性肿瘤	C72.001
脊髓圆锥恶性肿瘤	C72.002
脊髓胸段恶性肿瘤	C72.003
脊髓腰段恶性肿瘤	C72.004
马尾恶性肿瘤	C72.100
嗅神经恶性肿瘤	C72.200
嗅球恶性肿瘤	C72.201
视神经恶性肿瘤	C72.300
听神经恶性肿瘤	C72.400
脑神经恶性肿瘤	C72.500
动眼神经恶性肿瘤	C72.501
滑车神经恶性肿瘤	C72.502
三叉神经恶性肿瘤	C72.503
展神经恶性肿瘤	C72.504
面神经恶性肿瘤	C72.505
前庭蜗神经恶性肿瘤	C72.506
舌咽神经恶性肿瘤	C72.507
迷走神经恶性肿瘤	C72.508
副神经恶性肿瘤	C72.509
舌下神经恶性肿瘤	C72.510
脑和中枢神经系统其他部位交搭跨越恶性肿瘤的损害	C72.800
颅眶沟通恶性肿瘤	C72.800x001
颅底沟通恶性肿瘤	C72.800x002
颅鼻眶沟通恶性肿瘤	C72.800x003
中枢神经系统恶性肿瘤	C72.900
椎管内恶性肿瘤	C72.900x004
蝶鞍旁恶性肿瘤	C72.900x005
颈静脉孔区恶性肿瘤	C72.900x006
硬膜外恶性肿瘤	C72.901
甲状腺恶性肿瘤	C73.x00
甲状腺多处恶性肿瘤	C73.x00x003
肾上腺皮质恶性肿瘤	C74.000
肾上腺髓质恶性肿瘤	C74.100
肾上腺恶性肿瘤	C74.900
甲状旁腺恶性肿瘤	C75.000
垂体恶性肿瘤	C75.100
颅咽管恶性肿瘤	C75.200
松果体恶性肿瘤	C75.300
颈动脉体恶性肿瘤	C75.400
主动脉体和其他节旁体恶性肿瘤	C75.500
主动脉体恶性肿瘤	C75.500x001
节旁体恶性肿瘤	C75.501
累及多个腺体的恶性肿瘤	C75.800
内分泌腺恶性肿瘤	C75.900
头、面和颈部恶性肿瘤	C76.000
头部恶性肿瘤	C76.000x002
颌下恶性肿瘤	C76.000x007
面部恶性肿瘤	C76.001
颈部恶性肿瘤	C76.002
颊恶性肿瘤	C76.003
鼻恶性肿瘤	C76.004
颔下恶性肿瘤	C76.005
颏下恶性肿瘤	C76.006
胸部恶性肿瘤	C76.100
胸腔恶性肿瘤	C76.100x003
腋恶性肿瘤	C76.101
腹部恶性肿瘤	C76.200
髂窝恶性肿瘤	C76.200x002
盆腔恶性肿瘤	C76.300
骶前恶性肿瘤	C76.300x001
骨盆恶性肿瘤	C76.300x009
膀胱直肠隔恶性肿瘤	C76.301
骶恶性肿瘤	C76.302
会阴部恶性肿瘤	C76.303
腹股沟恶性肿瘤	C76.304
骶尾部恶性肿瘤	C76.305
臀部恶性肿瘤	C76.306
直肠阴道隔恶性肿瘤	C76.307
上肢恶性肿瘤	C76.400
肩恶性肿瘤	C76.401
手部恶性肿瘤	C76.402
下肢恶性肿瘤	C76.500
髋恶性肿瘤	C76.501
腘窝恶性肿瘤	C76.502
足恶性肿瘤	C76.503
恶性肿瘤,其他不明确部位的	C76.700
腰部恶性肿瘤	C76.700x002
躯干部恶性肿瘤	C76.701
背部恶性肿瘤	C76.702
交搭跨越恶性肿瘤的损害，其他和不明确部位的	C76.800
不明确部位交搭跨越恶性肿瘤	C76.801
头、面和颈部淋巴结继发性的恶性肿瘤	C77.000
头部淋巴结继发恶性肿瘤	C77.000x005
面部淋巴结继发恶性肿瘤	C77.001
颈部淋巴结继发恶性肿瘤	C77.002
颏下淋巴结继发恶性肿瘤	C77.003
颌下淋巴结继发恶性肿瘤	C77.004
腮腺淋巴结继发恶性肿瘤	C77.005
耳淋巴结继发恶性肿瘤	C77.006
锁骨上淋巴结继发恶性肿瘤	C77.007
气管食管沟淋巴结继发恶性肿瘤	C77.008
胸腔内淋巴结继发性的恶性肿瘤	C77.100
支气管淋巴结继发恶性肿瘤	C77.100x004
胸骨旁淋巴结继发恶性肿瘤	C77.101
肺门淋巴结继发恶性肿瘤	C77.102
纵隔淋巴结继发恶性肿瘤	C77.103
气管淋巴结继发恶性肿瘤	C77.104
气管支气管淋巴结继发恶性肿瘤	C77.105
食管淋巴结继发恶性肿瘤	C77.106
膈淋巴结继发恶性肿瘤	C77.107
腹腔内淋巴结继发性的恶性肿瘤	C77.200
贲门淋巴结继发恶性肿瘤	C77.200x001
胃淋巴结继发恶性肿瘤	C77.201
脾淋巴结继发恶性肿瘤	C77.202
肝淋巴结继发恶性肿瘤	C77.203
胰淋巴结继发恶性肿瘤	C77.204
腹膜后淋巴结继发恶性肿瘤	C77.205
主动脉旁淋巴结继发恶性肿瘤	C77.206
肠系膜淋巴结继发恶性肿瘤	C77.207
肠周淋巴结继发恶性肿瘤	C77.208
腋下和上肢淋巴结继发性的恶性肿瘤	C77.300
腋窝淋巴结继发恶性肿瘤	C77.300x001
肱骨内上髁淋巴结继发恶性肿瘤	C77.300x003
腋下淋巴结继发恶性肿瘤	C77.301
锁骨下淋巴结继发恶性肿瘤	C77.302
胸壁淋巴结继发恶性肿瘤	C77.303
腹股沟和下肢淋巴结继发性的恶性肿瘤	C77.400
腹股沟淋巴结继发恶性肿瘤	C77.400x001
下肢淋巴结继发恶性肿瘤	C77.401
盆腔内淋巴结继发性的恶性肿瘤	C77.500
子宫旁淋巴结继发恶性肿瘤	C77.500x003
髂淋巴结继发恶性肿瘤	C77.501
骶骨淋巴结继发恶性肿瘤	C77.502
耻骨联合前淋巴结继发恶性肿瘤	C77.503
多个部位淋巴结继发性的恶性肿瘤	C77.800
淋巴结恶性肿瘤	C77.900
淋巴结继发恶性肿瘤	C77.900x001
肺部继发性恶性肿瘤	C78.000
支气管软骨继发恶性肿瘤	C78.000x003
支气管继发恶性肿瘤	C78.001
主支气管继发恶性肿瘤	C78.002
气管支气管继发恶性肿瘤	C78.003
纵隔继发性恶性肿瘤	C78.100
胸膜继发性恶性肿瘤	C78.200
恶性胸腔积液	C78.201
呼吸器官继发性恶性肿瘤，其他的	C78.300
咽鼓管继发恶性肿瘤	C78.300x004
上颌窦继发恶性肿瘤	C78.300x005
声带继发恶性肿瘤	C78.300x006
乳突继发恶性肿瘤	C78.300x008
会厌继发恶性肿瘤	C78.300x010
鼻窦继发恶性肿瘤	C78.301
鼻腔继发恶性肿瘤	C78.302
中耳继发恶性肿瘤	C78.303
气管继发恶性肿瘤	C78.304
喉继发恶性肿瘤	C78.305
呼吸器官继发恶性肿瘤	C78.306
小肠继发性恶性肿瘤	C78.400
十二指肠继发恶性肿瘤	C78.401
空肠继发恶性肿瘤	C78.402
回肠继发恶性肿瘤	C78.403
大肠和直肠继发性恶性肿瘤	C78.500
乙状结肠继发恶性肿瘤	C78.500x004
直肠乙状结肠连接部继发恶性肿瘤	C78.500x006
肛门继发恶性肿瘤	C78.500x008
直肠继发恶性肿瘤	C78.501
盲肠继发恶性肿瘤	C78.502
阑尾继发恶性肿瘤	C78.503
结肠继发恶性肿瘤	C78.504
肛管继发恶性肿瘤	C78.505
腹膜后和腹膜继发性恶性肿瘤	C78.600
腹膜继发恶性肿瘤	C78.600x004
腹膜后继发恶性肿瘤	C78.601
大网膜继发恶性肿瘤	C78.602
肠系膜继发恶性肿瘤	C78.603
恶性腹水	C78.604
道格拉斯陷凹继发恶性肿瘤	C78.605
肝部和肝内胆管继发性恶性肿瘤	C78.700
消化器官继发性恶性肿瘤，其他和未特指的	C78.800
胃肠道继发恶性肿瘤	C78.800x005
胰头继发恶性肿瘤	C78.800x009
胃底继发恶性肿瘤	C78.800x010
胃食管连接部继发恶性肿瘤	C78.800x013
贲门食管连接部继发恶性肿瘤	C78.800x014
食管继发恶性肿瘤	C78.801
胃继发恶性肿瘤	C78.802
贲门继发恶性肿瘤	C78.803
壶腹继发恶性肿瘤	C78.804
脾继发恶性肿瘤	C78.805
胰腺继发恶性肿瘤	C78.806
胆囊继发恶性肿瘤	C78.807
胆管继发恶性肿瘤	C78.808
消化器官继发性恶性肿瘤	C78.809
肾和肾盂继发性恶性肿瘤	C79.000
肾继发恶性肿瘤	C79.000x001
肾盂继发恶性肿瘤	C79.001
膀胱和其他及泌尿器官继发性恶性肿瘤	C79.100
泌尿系统继发恶性肿瘤	C79.100x002
膀胱继发恶性肿瘤	C79.101
输尿管继发恶性肿瘤	C79.102
尿道继发恶性肿瘤	C79.103
皮肤继发性恶性肿瘤	C79.200
腹壁皮肤继发恶性肿瘤	C79.200x001
眼睑继发恶性肿瘤	C79.200x002
臀部皮肤继发恶性肿瘤	C79.200x005
颌部皮肤继发恶性肿瘤	C79.200x006
乳房皮肤继发恶性肿瘤	C79.200x007
颏部皮肤继发恶性肿瘤	C79.200x008
头部皮肤继发恶性肿瘤	C79.201
面部皮肤继发恶性肿瘤	C79.202
颈部皮肤继发恶性肿瘤	C79.203
躯干皮肤继发恶性肿瘤	C79.204
四肢皮肤继发恶性肿瘤	C79.205
脑和脑膜继发性恶性肿瘤	C79.300
脑继发恶性肿瘤	C79.300x002
颅窝继发恶性肿瘤	C79.300x006
颅内继发恶性肿瘤	C79.300x011
颅内静脉窦继发恶性肿瘤	C79.300x012
颈静脉孔区继发恶性肿瘤	C79.300x013
脑白质继发恶性肿瘤	C79.300x016
硬脑膜下继发恶性肿瘤	C79.300x017
岛叶继发恶性肿瘤	C79.300x018
侧脑室继发恶性肿瘤	C79.300x019
第三脑室继发恶性肿瘤	C79.300x020
基底节继发恶性肿瘤	C79.300x021
胼胝体继发恶性肿瘤	C79.300x023
中脑继发恶性肿瘤	C79.300x024
脑桥继发恶性肿瘤	C79.300x025
延髓继发恶性肿瘤	C79.300x026
第四脑室继发恶性肿瘤	C79.300x027
小脑幕上继发恶性肿瘤	C79.300x028
小脑幕下继发恶性肿瘤	C79.300x029
癌性脑膜炎	C79.300x030
颅底继发恶性肿瘤	C79.300x031
颅前窝继发恶性肿瘤	C79.300x032
颅中窝继发恶性肿瘤	C79.300x033
颅后窝继发恶性肿瘤	C79.300x034
脑膜继发恶性肿瘤	C79.301
大脑继发恶性肿瘤	C79.302
额叶继发恶性肿瘤	C79.303
顶叶继发恶性肿瘤	C79.304
枕叶继发恶性肿瘤	C79.305
颞叶继发恶性肿瘤	C79.306
脑岛继发恶性肿瘤	C79.307
海马回继发恶性肿瘤	C79.308
小脑继发恶性肿瘤	C79.309
脑干继发恶性肿瘤	C79.310
丘脑继发恶性肿瘤	C79.311
神经系统继发性恶性肿瘤，其他和未特指部位的	C79.400
硬膜外继发恶性肿瘤	C79.400x012
椎管内继发恶性肿瘤	C79.400x013
泪管继发恶性肿瘤	C79.400x014
马尾继发恶性肿瘤	C79.400x018
上肢周围神经继发恶性肿瘤	C79.400x019
下肢周围神经继发恶性肿瘤	C79.400x020
交感神经继发恶性肿瘤	C79.400x021
周围神经继发恶性肿瘤	C79.400x022
中枢神经系统继发恶性肿瘤	C79.401
脑神经继发恶性肿瘤	C79.402
脊髓继发恶性肿瘤	C79.403
脊膜继发恶性肿瘤	C79.404
眼继发恶性肿瘤	C79.405
眶内继发恶性肿瘤	C79.406
眼球继发恶性肿瘤	C79.407
眼外肌继发恶性肿瘤	C79.408
脉络膜继发恶性肿瘤	C79.409
骨和骨髓继发性恶性肿瘤	C79.500
骨继发恶性肿瘤	C79.500x001
上颌骨继发恶性肿瘤	C79.500x004
椎体继发恶性肿瘤	C79.500x006
斜坡继发恶性肿瘤	C79.500x007
指骨继发恶性肿瘤	C79.500x008
髂骨继发恶性肿瘤	C79.500x009
股骨继发恶性肿瘤	C79.500x010
关节继发恶性肿瘤	C79.500x011
桡骨继发恶性肿瘤	C79.500x012
胸骨继发恶性肿瘤	C79.500x013
眶骨继发恶性肿瘤	C79.500x016
肋骨继发恶性肿瘤	C79.500x021
锁骨继发恶性肿瘤	C79.500x022
盆骨继发恶性肿瘤	C79.500x024
骶骨继发恶性肿瘤	C79.500x025
尾骨继发恶性肿瘤	C79.500x026
舌骨继发恶性肿瘤	C79.500x028
颈椎继发恶性肿瘤	C79.500x030
胸椎继发恶性肿瘤	C79.500x031
腰椎继发恶性肿瘤	C79.500x032
骨髓继发恶性肿瘤	C79.501
颅骨继发恶性肿瘤	C79.502
面骨继发恶性肿瘤	C79.503
颌骨继发恶性肿瘤	C79.504
下颌骨继发恶性肿瘤	C79.505
躯干骨继发恶性肿瘤	C79.506
上肢骨继发恶性肿瘤	C79.507
下肢骨继发恶性肿瘤	C79.508
脊柱继发恶性肿瘤	C79.509
卵巢继发性恶性肿瘤	C79.600
肾上腺继发性恶性肿瘤	C79.700
继发性恶性肿瘤，其他特指部位的	C79.800
输卵管继发恶性肿瘤	C79.800x202
子宫角继发恶性肿瘤	C79.800x205
子宫体继发恶性肿瘤	C79.800x206
子宫颈继发恶性肿瘤	C79.800x209
子宫旁继发恶性肿瘤	C79.800x211
子宫下段继发恶性肿瘤	C79.800x213
子宫韧带继发恶性肿瘤	C79.800x214
子宫圆韧带继发恶性肿瘤	C79.800x215
子宫阔韧带继发恶性肿瘤	C79.800x216
子宫卵巢韧带继发恶性肿瘤	C79.800x218
子宫骶骨韧带继发恶性肿瘤	C79.800x219
子宫内膜继发恶性肿瘤	C79.800x220
子宫附件继发恶性肿瘤	C79.800x222
子宫肌层继发恶性肿瘤	C79.800x223
生殖器官继发恶性肿瘤	C79.800x228
精索继发恶性肿瘤	C79.800x231
附睾继发恶性肿瘤	C79.800x233
躯干继发恶性肿瘤	C79.800x804
头部继发恶性肿瘤	C79.800x806
心包继发恶性肿瘤	C79.800x807
胸壁继发恶性肿瘤	C79.800x809
腋下继发恶性肿瘤	C79.800x811
颌部继发恶性肿瘤	C79.800x812
锁骨上继发恶性肿瘤	C79.800x813
臀部继发恶性肿瘤	C79.800x816
下肢继发恶性肿瘤	C79.800x817
骶尾区继发恶性肿瘤	C79.800x818
腹主动脉继发恶性肿瘤	C79.800x819
悬雍垂继发恶性肿瘤	C79.800x824
腭部继发恶性肿瘤	C79.800x825
臼齿后区继发恶性肿瘤	C79.800x826
鼻咽继发恶性肿瘤	C79.800x828
胸腺继发恶性肿瘤	C79.800x829
血管继发恶性肿瘤	C79.800x830
皮下继发恶性肿瘤	C79.800x831
面部继发恶性肿瘤	C79.800x833
腹股沟继发恶性肿瘤	C79.800x834
上肢继发恶性肿瘤	C79.800x835
肌肉继发恶性肿瘤	C79.800x836
鞘膜继发恶性肿瘤	C79.800x837
胸导管继发恶性肿瘤	C79.800x838
松果体继发恶性肿瘤	C79.800x839
唇部继发恶性肿瘤	C79.800x840
齿龈继发恶性肿瘤	C79.800x843
颊黏膜继发恶性肿瘤	C79.800x844
颊龈沟继发恶性肿瘤	C79.800x845
髂窝继发恶性肿瘤	C79.800x847
癌性淋巴管炎	C79.800x862
恶性心包积液	C79.800x863
口腔继发恶性肿瘤	C79.801
舌继发恶性肿瘤	C79.802
咽继发恶性肿瘤	C79.803
扁桃体继发恶性肿瘤	C79.804
甲状腺继发恶性肿瘤	C79.805
乳腺继发恶性肿瘤	C79.806
胸腔继发恶性肿瘤	C79.807
心脏继发恶性肿瘤	C79.808
腹腔继发恶性肿瘤	C79.809
膈继发恶性肿瘤	C79.810
盆腔继发恶性肿瘤	C79.811
子宫继发恶性肿瘤	C79.812
附件继发恶性肿瘤	C79.813
阴道继发恶性肿瘤	C79.814
输精管继发恶性肿瘤	C79.815
精囊继发恶性肿瘤	C79.816
睾丸继发恶性肿瘤	C79.817
前列腺继发恶性肿瘤	C79.818
阴囊继发恶性肿瘤	C79.819
阴茎继发恶性肿瘤	C79.820
会阴继发恶性肿瘤	C79.821
外阴继发恶性肿瘤	C79.822
前庭大腺继发恶性肿瘤	C79.823
直肠阴道隔继发恶性肿瘤	C79.824
垂体继发恶性肿瘤	C79.825
淋巴管继发恶性肿瘤	C79.826
结缔组织继发恶性肿瘤	C79.827
神经节继发恶性肿瘤	C79.828
骶尾部继发恶性肿瘤	C79.829
颌下腺继发恶性肿瘤	C79.830
腮腺继发恶性肿瘤	C79.831
拉特克囊继发恶性肿瘤	C79.832
纳博特腺继发恶性肿瘤	C79.833
颈部继发性恶性肿瘤	C79.834
舌下腺继发恶性肿瘤	C79.835
继发恶性肿瘤，未特指部位	C79.900
广泛转移性恶性肿瘤	C79.900x001
恶性肿瘤	C80.000
恶性肿瘤复发	C80.000x001
癌性脑白质病	C80.000x002+G13.1*
癌性脑病	C80.000x003+G13.1*
恶性恶病质	C80.001
恶性肿瘤性周围神经病	C80.002+G63.1*
伊顿-兰伯特综合征	C80.004+G73.1*
恶性肿瘤，原发部位未特指	C80.900
癌，未特指	C80.901
恶性上皮肿瘤，未特指	C80.902
恶性肿瘤，未特指	C80.903
恶性肿瘤恶病质，未特指	C80.904
复合癌，未特指	C80.905
结节性淋巴细胞为主型霍奇金淋巴瘤	C81.000
结节性硬化型（经典型）霍奇金淋巴瘤	C81.100
混合细胞型（经典型）霍奇金淋巴瘤	C81.200
淋巴细胞减少型（经典型）霍奇金淋巴瘤	C81.300
富淋巴细胞性（经典型）霍奇金淋巴瘤	C81.400
经典型霍奇金淋巴瘤，其他类型的	C81.700
霍奇金副肉芽肿	C81.701
霍奇金肉芽肿	C81.702
霍奇金肉瘤	C81.703
霍奇金淋巴瘤，未特指	C81.900
皮肤霍奇金淋巴瘤	C81.900x005
滤泡性淋巴瘤I级	C82.000
滤泡性淋巴瘤II级	C82.100
滤泡性淋巴瘤III级	C82.200
滤泡性淋巴瘤IIIa级	C82.300
滤泡性淋巴瘤IIIb级	C82.400
弥漫性滤泡中心细胞淋巴瘤	C82.500
皮肤滤泡中心细胞淋巴瘤	C82.600
滤泡性淋巴瘤，其他类型的	C82.700
恶性淋巴瘤,淋巴细胞性,高分化,结节性	C82.701
恶性淋巴瘤,淋巴细胞性,中分化,结节性	C82.702
恶性淋巴瘤,淋巴细胞性,低分化,结节性	C82.703
恶性淋巴瘤,中心母细胞性,滤泡性	C82.704
滤泡性淋巴瘤	C82.900
恶性淋巴瘤,滤泡中心性	C82.901
结节性淋巴瘤，未特指	C82.903
小B细胞淋巴瘤	C83.000
淋巴浆细胞性淋巴瘤	C83.001
结节边缘区淋巴瘤	C83.002
脾缘区淋巴瘤	C83.003
非白血病B-CLL变异	C83.004
曼特尔细胞淋巴瘤	C83.100
中心细胞性淋巴瘤	C83.101
恶性淋巴瘤性息肉病	C83.102
弥漫性大B细胞淋巴瘤	C83.300
原发中枢神经系统弥漫大B细胞淋巴瘤	C83.300x006
原发皮肤弥漫大B细胞淋巴瘤（腿型）	C83.300x007
老年人EBV阳性弥漫大B细胞淋巴瘤	C83.300x008
与慢性炎症相关弥漫大B细胞淋巴瘤	C83.300x009
间变型弥漫大B细胞淋巴瘤	C83.301
中心母细胞型弥漫大B细胞淋巴瘤	C83.302
浆母细胞性弥漫大B细胞淋巴瘤	C83.303
免疫母细胞型弥漫大B细胞淋巴瘤	C83.304
未特指亚型的弥漫大B细胞淋巴瘤	C83.305
富T细胞弥漫大B细胞淋巴瘤	C83.306
CD30阳性弥漫大B细胞淋巴瘤	C83.307
原淋巴细胞（弥漫性）淋巴瘤	C83.500
前体B细胞淋巴瘤	C83.501
B淋巴母细胞性淋巴瘤	C83.502
淋巴母细胞性淋巴瘤NOS	C83.503
T淋巴母细胞性淋巴瘤	C83.504
前体T细胞淋巴瘤	C83.505
伯基特淋巴瘤	C83.700
伯基特样淋巴瘤	C83.702
非典型伯基特淋巴瘤	C83.703
其他非滤泡性淋巴瘤	C83.800
